epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3362,2.59786,4.38536,5.15974,1.77453,0,0,0,0,0,0,0,0,1.06135,2.12476,4.66141,0.93167,0.00011676,0.00011676,0.00011676
2,46.5388,1.68711,3.00788,4.50705,1.12862,0.05018,0.26326,0.04505,0.02123,0.04649,0.23864,0.0397,0.01607,1.01368,2.03654,4.42314,0.87636,0.000236513,0.000236513,0.000236513
3,68.2059,1.65525,2.88998,3.99686,1.08081,0.04802,0.60985,0.09143,0.06147,0.04766,0.60227,0.09203,0.05496,0.96224,1.76773,4.01636,0.87007,0.00035507,0.00035507,0.00035507
4,89.1976,1.58039,2.64172,3.46495,1.04893,0.31254,0.17992,0.14566,0.10252,0.31151,0.17614,0.14088,0.08939,0.97609,1.69228,3.23567,0.87287,0.000410808,0.000410808,0.000410808
5,109.911,1.57682,2.63747,3.08543,1.05093,0.1441,0.32576,0.16854,0.12127,0.14321,0.32386,0.16574,0.10804,0.97429,1.70102,2.64169,0.88791,0.000408743,0.000408743,0.000408743
6,130.288,1.50877,2.53985,2.78517,1.04442,0.12533,0.44719,0.19737,0.14354,0.12394,0.4375,0.19484,0.12947,0.88513,1.56701,2.27521,0.87575,0.000406679,0.000406679,0.000406679
7,150.578,1.51332,2.50475,2.61627,1.04487,0.1842,0.4343,0.24207,0.17969,0.18983,0.42091,0.24025,0.15222,0.86084,1.59019,2.08381,0.87193,0.000404615,0.000404615,0.000404615
8,171.124,1.45048,2.46126,2.46778,1.04369,0.18246,0.44867,0.23555,0.1793,0.18226,0.44252,0.23481,0.1605,0.85069,1.528,1.99248,0.87769,0.000402551,0.000402551,0.000402551
9,192.055,1.38933,2.32935,2.35929,1.01682,0.19745,0.4592,0.2737,0.21237,0.19444,0.46937,0.27006,0.18945,0.7591,1.36246,2.02171,0.85165,0.000400487,0.000400487,0.000400487
10,213.31,1.43877,2.36753,2.32238,1.02651,0.18424,0.54224,0.27763,0.21124,0.18133,0.53656,0.2725,0.18125,0.82447,1.34309,1.84941,0.86661,0.000398423,0.000398423,0.000398423
11,234.356,1.39568,2.35113,2.23936,1.02566,0.21785,0.59541,0.31753,0.2375,0.21664,0.59162,0.31213,0.20305,0.86768,1.34042,1.82241,0.86694,0.000396358,0.000396358,0.000396358
12,255.538,1.38961,2.2286,2.17961,1.02044,0.23441,0.58523,0.31916,0.24045,0.23542,0.57928,0.31811,0.22029,0.85805,1.43527,1.84055,0.8659,0.000394294,0.000394294,0.000394294
13,276.499,1.37517,2.30116,2.14306,1.01,0.25352,0.56019,0.34268,0.27025,0.24919,0.56489,0.33724,0.24847,0.77947,1.28723,1.70688,0.85001,0.00039223,0.00039223,0.00039223
14,297.238,1.3621,2.24251,2.05226,1.01417,0.33136,0.61271,0.3975,0.32194,0.33012,0.61082,0.39589,0.27294,0.70874,1.29377,1.61793,0.84744,0.000390166,0.000390166,0.000390166
15,318.184,1.29172,2.14192,1.96549,0.99439,0.3314,0.66324,0.40512,0.32643,0.33047,0.65945,0.40037,0.27915,0.70807,1.21857,1.63557,0.84582,0.000388102,0.000388102,0.000388102
16,339.178,1.29143,2.18043,1.93774,0.98888,0.37142,0.65041,0.46854,0.38098,0.3671,0.65471,0.4653,0.32949,0.72225,1.20186,1.47716,0.84064,0.000386038,0.000386038,0.000386038
17,360.327,1.31871,2.20137,1.88779,1.00108,0.36699,0.68409,0.50896,0.41486,0.36391,0.6784,0.50381,0.36931,0.72215,1.20184,1.41841,0.84023,0.000383974,0.000383974,0.000383974
18,380.874,1.28571,2.12721,1.83366,0.97945,0.38143,0.70265,0.52002,0.42065,0.37988,0.69886,0.51399,0.34924,0.71166,1.21157,1.39736,0.83745,0.000381909,0.000381909,0.000381909
19,401.533,1.31992,2.22677,1.84072,0.99782,0.36804,0.73181,0.50528,0.41866,0.36676,0.72059,0.50276,0.35274,0.66109,1.14594,1.39317,0.82879,0.000379845,0.000379845,0.000379845
20,422.607,1.253,2.09038,1.77026,0.99426,0.37041,0.72302,0.54804,0.45597,0.36918,0.72112,0.5448,0.39144,0.66024,1.2043,1.31624,0.82882,0.000377781,0.000377781,0.000377781
21,442.99,1.25433,2.05343,1.7517,0.98795,0.47417,0.73327,0.55233,0.44279,0.47288,0.73137,0.55059,0.40446,0.74427,1.18119,1.37422,0.8385,0.000375717,0.000375717,0.000375717
22,463.644,1.28393,2.14734,1.7263,0.99674,0.41235,0.79606,0.55442,0.45707,0.40984,0.79227,0.55027,0.38765,0.72721,1.20507,1.29394,0.84282,0.000373653,0.000373653,0.000373653
23,484.178,1.24299,2.01058,1.66707,0.97954,0.47129,0.78964,0.6127,0.49872,0.47066,0.78775,0.60731,0.42953,0.71238,1.20199,1.25744,0.83628,0.000371589,0.000371589,0.000371589
24,504.833,1.24604,2.06567,1.66939,0.96868,0.46075,0.77659,0.55904,0.44618,0.45664,0.77207,0.55405,0.39153,0.74344,1.17651,1.31278,0.84951,0.000369525,0.000369525,0.000369525
25,526.03,1.24627,2.05001,1.6137,0.98727,0.50955,0.84004,0.6356,0.50956,0.50955,0.84004,0.6345,0.45214,0.75165,1.25624,1.17845,0.84574,0.00036746,0.00036746,0.00036746
26,546.874,1.27107,2.06823,1.61167,0.9808,0.50005,0.84455,0.64325,0.5332,0.49922,0.84266,0.6415,0.46244,0.65905,1.0753,1.1663,0.83109,0.000365396,0.000365396,0.000365396
27,567.962,1.2096,2.00478,1.53717,0.97138,0.51265,0.78042,0.65277,0.55074,0.51205,0.78439,0.65195,0.4708,0.62046,1.08102,1.14026,0.82479,0.000363332,0.000363332,0.000363332
28,589.093,1.20043,1.98756,1.56732,0.97095,0.50089,0.7514,0.66465,0.55709,0.49825,0.74566,0.661,0.48472,0.65887,1.17353,1.1442,0.82892,0.000361268,0.000361268,0.000361268
29,609.872,1.20948,2.0107,1.5394,0.9725,0.53468,0.75286,0.68411,0.57042,0.53696,0.75231,0.68215,0.49666,0.65418,1.14413,1.13484,0.82881,0.000359204,0.000359204,0.000359204
30,630.529,1.23318,2.04465,1.56012,0.9783,0.54704,0.76506,0.66431,0.55145,0.53362,0.77992,0.6612,0.47912,0.65153,1.10175,1.09976,0.83132,0.00035714,0.00035714,0.00035714
31,651.516,1.13389,1.91177,1.5123,0.95554,0.42417,0.7768,0.5936,0.48959,0.42698,0.77275,0.58924,0.42176,0.6359,1.06631,1.15978,0.82171,0.000355076,0.000355076,0.000355076
32,673.22,1.17107,1.96141,1.46981,0.96141,0.59078,0.74789,0.69132,0.5789,0.59234,0.74639,0.6878,0.50289,0.61776,1.07119,1.11035,0.82689,0.000353011,0.000353011,0.000353011
33,693.922,1.19328,2.00033,1.47876,0.96911,0.55703,0.83651,0.69247,0.57057,0.55264,0.82893,0.69003,0.51316,0.637,1.0883,1.07595,0.82656,0.000350947,0.000350947,0.000350947
34,714.873,1.19127,1.95785,1.48271,0.96733,0.56831,0.75886,0.68836,0.57468,0.56797,0.75599,0.68685,0.50511,0.64763,1.11216,1.07473,0.82704,0.000348883,0.000348883,0.000348883
